,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS
timestamp,,,,,,,,,,,,,,,,,,,,
16-10-2023 09:15,818.4500122,3120.050049,991.0499878,5055,818.4500122,3123.699951,999.4500122,5068.899902,809.25,3098.399902,991.0499878,5037.850098,811,3110.300049,997.5499878,5058.450195,74729,34020,105001,4636
16-10-2023 09:30,809.5,3111.550049,999,5072.850098,809.5,3116.25,1000.400024,5083.899902,807.0999756,3107,998.4500122,5062.25,807.6500244,3114.5,999.3499756,5083.5,203035,71489,305091,14185
16-10-2023 15:00,806.6500244,3113.399902,1006.200012,5078.850098,807.2999878,3115.449951,1006.950012,5081.950195,806,3111.350098,1005,5072.850098,806.2999878,3113.199951,1005.549988,5078.850098,98259,42457,319016,12832
16-10-2023 15:15,806.2999878,3113.100098,1005.450012,5078.75,806.2999878,3116.050049,1005.799988,5080,803.25,3105,1002.950012,5064.549805,804,3112.050049,1004.799988,5076.700195,416809,81597,639581,25224
17-10-2023 09:15,812.0499878,3126.050049,1009.049988,5083,813,3126.5,1014.25,5090,809.25,3110.800049,1009.049988,5070,811.9500122,3122,1010.599976,5088.399902,17954,5272,62540,2505
17-10-2023 09:30,812.1500244,3126,1007.400024,5095,812.5999756,3129.949951,1009.700012,5110,810.5999756,3120,1006,5095,810.6500244,3126.399902,1007.349976,5106.700195,164475,44595,522884,20925
17-10-2023 15:00,804.4500122,3105.800049,1007.200012,5134.799805,805.5,3115.449951,1008.299988,5145,804.1500244,3105.5,1006,5131.600098,804.5999756,3112.600098,1007.299988,5143,241651,49194,596907,18220
17-10-2023 15:15,804.5999756,3112.600098,1007.150024,5143.299805,806.75,3118,1009.950012,5149.950195,804.5,3112.600098,1006.849976,5139.200195,805.2000122,3113.550049,1008.049988,5143.100098,203253,60451,559660,23893
18-10-2023 09:15,807.4000244,3109,1010.450012,5149,808.8499756,3113,1012.400024,5161.75,802.5,3105,1008.450012,5132.600098,805.75,3111.649902,1009.700012,5150,76602,14547,146925,7291
18-10-2023 09:30,806,3112.149902,1009.599976,5150,807.5,3112.699951,1011.049988,5172.799805,805.25,3108.050049,1009,5148.049805,807.3499756,3110.199951,1009.349976,5165,72340,13822,198305,17568
18-10-2023 15:00,797.5999756,3108.149902,991,5161.950195,800.4500122,3108.850098,994.6500244,5161.950195,797.25,3095,990.0999756,5127.950195,798.2999878,3096.050049,994.4500122,5127.950195,277780,71911,843944,39011
18-10-2023 15:15,798.25,3096,994.4000244,5127.950195,799.5999756,3096.050049,994.9000244,5154.600098,797,3090.050049,992.4500122,5125.649902,798.5,3095.25,993.9500122,5137.350098,299659,71654,781649,36564
19-10-2023 09:15,795.4500122,3086,984,5274.299805,795.8499756,3093,988,5392.200195,790,3081.600098,982.7000122,5246.649902,795.0499878,3087.350098,987.7000122,5348.25,275191,32265,291288,430771
19-10-2023 09:30,795.4000244,3086.449951,987.4500122,5349.899902,795.9000244,3088,987.9000244,5375,788.5999756,3081.050049,984.2000122,5342.450195,790.7000122,3082,986.75,5350.799805,239383,33939,265137,162644
19-10-2023 15:00,794.7000122,3103.149902,991.9000244,5478.049805,796,3104.850098,992.4500122,5488.5,793.5,3100.800049,990.0499878,5474.100098,793.9000244,3102.449951,990.0499878,5477.950195,107184,38581,385138,136773
19-10-2023 15:15,793.75,3102.449951,990.2000122,5477.950195,795.5499878,3104.600098,993.2999878,5493.5,789.75,3099,990.0499878,5473.299805,790.3499756,3101.800049,991.4000244,5475,270205,50299,281890,159609
